# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ER3413_148	ER3413_148	AIZ51246	protein_coding	0	3	5	182	0	0	0	0	122	0	0	5	0	0	0	0	0	0	0	3	60
ER3413_150	ER3413_150	AIZ51264	protein_coding	0	0	2	173	0	0	0	0	115	0	0	2	0	0	0	0	0	0	0	0	58
ER3413_1591	ER3413_1591	AIZ51348	protein_coding	0	11	10	63	0	0	0	0	36	0	0	10	0	0	0	0	0	0	0	11	27
ER3413_2026	ER3413_2026	AIZ51785	protein_coding	3	5	20	134	0	0	0	0	53	1	0	20	0	0	0	0	2	0	0	5	81
ER3413_2031	ER3413_2031	AIZ51791	protein_coding	0	2	1	154	0	0	0	0	93	0	0	1	0	0	0	0	0	0	0	2	61
ER3413_2033	ER3413_2033	AIZ51793	protein_coding	0	0	0	129	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	64
ER3413_2034	ER3413_2034	AIZ51794	protein_coding	0	11	2	116	0	0	0	0	65	0	0	2	0	0	0	0	0	0	0	11	51
ER3413_2215	ER3413_2215	AIZ51957	protein_coding	0	0	0	91	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	30
ER3413_310	ER3413_310	AIZ52804	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6
ER3413_3207	ER3413_3207	AIZ52911	protein_coding	0	11	4	115	0	0	0	0	34	0	0	4	0	1	0	0	0	0	1	10	81
ER3413_3635	ER3413_3635	AIZ53335	protein_coding	0	0	0	81	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	49
ER3413_3672	ER3413_3672	AIZ53371	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ER3413_4155	ER3413_4155	AIZ53830	protein_coding	0	0	0	73	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	7
ER3413_4464	ER3413_4464	AIZ54128	protein_coding	0	1	3	22	0	0	0	0	13	0	0	3	0	0	0	0	0	0	0	1	9
ER3413_4465	ER3413_4465	AIZ54129	protein_coding	0	1	0	24	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	9
ER3413_565	ER3413_565	AIZ54402	protein_coding	0	3	2	134	0	0	0	0	68	0	0	2	0	0	0	0	0	0	0	3	66
ER3413_566	ER3413_566	AIZ54403	protein_coding	0	0	1	101	0	0	0	0	39	0	0	1	0	0	0	0	0	0	0	0	62
aaeA	ER3413_3326	AIZ53031	protein_coding	0	0	0	36	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	9
aaeB	ER3413_3325	AIZ53030	protein_coding	0	9	18	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	9	9
aaeR	ER3413_3328	AIZ53033	protein_coding	0	0	0	36	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	27
aaeX	ER3413_3327	AIZ53032	protein_coding	0	0	0	36	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	9
aas	ER3413_2925	AIZ52639	protein_coding	0	3	6	71	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	3	62
